sample_file_name,path,classID,class
Hi_Tom1.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Hi_Tom1.wav,tom,6
BAND OF BROTHERS KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Band Of Brothers/BAND OF BROTHERS KICK.wav,kick,0
Clap2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/BurialSamples/Clap2.wav,clap,3
6-8 Metal Crasher 61-09.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/6-8 Loops/Perc Loops/6-8 Metal Crasher 61-09.wav,crash,5
JUMPY MAN SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Jumpy Man/JUMPY MAN SNARE.wav,snare,1
Ride_02.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Cymbals/Ride_02.wav,ride,4
BAND OF BROTHERS SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Band Of Brothers/BAND OF BROTHERS SNARE.wav,snare,1
DubK2PercussionFX126-05.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2PercussionFX126-05.wav,perc,7
WEEPING WILLOW TOMS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Weeping Willow/WEEPING WILLOW TOMS.wav,tom,6
DS01808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit01/DS01808Clave.wav,clave,9
6-8 Cowbell 02 66-10.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/6-8 Loops/Perc Loops/6-8 Cowbell 02 66-10.wav,cowbell,8
MANY TIMES HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Many Times/MANY TIMES HI-HATS.wav,hat,2
6-8 Cowbell 01 66-09.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/6-8 Loops/Perc Loops/6-8 Cowbell 01 66-09.wav,cowbell,8
Ride_04.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Cymbals/Ride_04.wav,ride,4
DS04808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit04/DS04808Clave.wav,clave,9
DubK2Percussion126-03.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Dub Loops/musicradar-dub-126bpm/Percussion/DubK2Percussion126-03.wav,perc,7
Lo_Tom2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Lo_Tom2.wav,tom,6
LIFE RIDE KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE KICK.wav,ride,4
Hi Crash.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Instruments/Hi Crash.wav,crash,5
Traxx Project - Cowbell Happy 2 [174bpm].wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Bass Explorer Presents 101 Drum & Bass Drum Loops/Traxx Project - Cowbell Happy 2 [174bpm].wav,cowbell,8
DS00808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit00/DS00808Clave.wav,clave,9
Clave Groovin.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Stones Throw Drum Kit/Groovin Kit Samples/Clave Groovin.wav,clave,9
FUNK MOWER SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Funk Mower/FUNK MOWER SNARE.wav,snare,1
BRIGHT AT NIGHT SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Bright At Night/BRIGHT AT NIGHT SNARE.wav,snare,1
LIFE RIDE SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE SNARE.wav,snare,1
Crash.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Instruments/Crash.wav,crash,5
Reverse Crash.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Instruments/Reverse Crash.wav,crash,5
DS03808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit03/DS03808Clave.wav,clave,9
CLAP.1.NEPT.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Neptunes/CLAP/CLAP.1.NEPT.wav,clap,3
LM1 Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Linn LM1/LM1 Clave.wav,clave,9
Cowbell Zion.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Stones Throw Drum Kit/Zion Kit Samples/Cowbell Zion.wav,cowbell,8
HOT GRITS SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Hot Grits/HOT GRITS SNARE.wav,snare,1
Ride_01.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Cymbals/Ride_01.wav,ride,4
FUNK MOWER KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Funk Mower/FUNK MOWER KICK.wav,kick,0
Clap 2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Claps/Clap 2.wav,clap,3
LAZY BABY KICK.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Lazy Baby/LAZY BABY KICK.wav,kick,0
Crash 02 87-10.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Live Kit/Drum Tools/One Shots/Cymbals/Crash 02 87-10.wav,crash,5
JUMPY MAN HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Jumpy Man/JUMPY MAN HI-HATS.wav,hat,2
HONOR ROLE HI-HATS.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Honor Role/HONOR ROLE HI-HATS.wav,hat,2
Clap 4.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/Des Basic Pack/Claps/Clap 4.wav,clap,3
RA Cowbell.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Ace Tone Rhythm Ace/Acetone Rhythm Ace/RA Cowbell.wav,cowbell,8
DS02808Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Novation Drumstation/Kit02/DS02808Clave.wav,clave,9
LIFE RIDE SNARE.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/All Dirty Breaks Everything (Limited Edition Pack)/WAVS/Life Ride/LIFE RIDE SNARE.wav,ride,4
Hi_Tom2.wav,D:/Documents/Samples/Beat Packs/Breaks and Soft Drums/9th Wonder Drum Kit/Percussions/Hi_Tom2.wav,tom,6
DR550Clave.wav,D:/Documents/Samples/Beat Packs/EDM and Dance/Vintage Drum Samples 24bit/Boss DR-550/DR550Clave.wav,clave,9
